Market Code,Market Name,Market Code,,Numeric Day of Week,Christmas From Text,Christmas To Text,New Years From Text,New Years To Text,,,
ATM,College Station,ATM,,0,"Sunday, 12/25","Sunday, 12/25","Sunday, 1/1","Sunday, 1/1",,,
AUS,Austin,AUS,,1,"Monday, 12/26","Monday, 12/26","Monday, 1/2","Monday, 1/2",,,
BDN,Bend,BDN,,2,"Tuesday, 12/27","Tuesday, 12/27","Tuesday, 1/3","Tuesday, 1/3",,,
BLI,Bellingham,BLI,,3,"Wednesday, 12/28","Wednesday, 12/28","Wednesday, 1/4","Wednesday, 1/4",,,
BNA,Nashville,BNA,,4,"Thursday, 12/29","Thursday, 12/29","Thursday, 1/5","Thursday, 1/5",,,
BOI,Boise,BOI,,5,"Friday, 12/30","Friday, 12/30","Friday, 1/6","Friday, 1/6",,,
BOS,Boston,BOS,,6,"Saturday, 12/31","Saturday, 12/31","Saturday, 1/7","Saturday, 1/7",,,
BRX,Bronx,BRX,,,,,,,,,
BTR,Baton Rouge,BTR,,,,,,,,,
BWI,Severn,BWI,,,,,,,,,
CHI,Chicago,CHI,,,,,,,,,
CLE,Cleveland,CLE,,,,,,,,,
CRP,Corpus Christi,CRP,,,,,,,,,
DAY,Dayton,DAY,,,,,,,,,
DEN,Denver,DEN,,,,,,,,,
DFW,Dallas-Fort Worth,DFW,,,,,,,,,
DSM,Des Moines,DSM,,,,,,,,,
DTW,Detroit,DTW,,,,,,,,,
EBY,Pittsburg CA,EBY,,,,,,,,,
EUG,Eugene,EUG,,,,,,,,,
EWR,Newark,EWR,,,,,,,,,
HAR,Hartford,HAR,,,,,,,,,
IAH,Houston,IAH,,,,,,,,,
IND,Indianapolis,IND,,,,,,,,,
KCI,Kansas City,KCI,,,,,,,,,
LAS,Las Vegas,LAS,,,,,,,,,
LAX,Los Angeles,LAX,,,,,,,,,
LIM,Long Island,LIM,,,,,,,,,
LOU,Louisville,LOU,,,,,,,,,
MCE,Merced,MCE,,,,,,,,,
MKE,Milwaukee,MKE,,,,,,,,,
MOC,Montgomery County,MOC,,,,,,,,,
MSN,Madison WI,MSN,,,,,,,,,
MSP,Minneapolis-Saint Paul,MSP,,,,,,,,,
NBY,Santa Rosa,NBY,,,,,,,,,
NVA,Northern Virginia,NVA,,,,,,,,,
NWI,Northwest Indiana,NWI,,,,,,,,,
OKC,Oklahoma City,OKC,,,,,,,,,
OLM,Olympia,OLM,,,,,,,,,
PDX,Portland,PDX,,,,,,,,,
PHL,Philadelphia,PHL,,,,,,,,,
PHX,Phoenix,PHX,,,,,,,,,
PIT,Pittsburgh,PIT,,,,,,,,,
RDU,Raleigh,RDU,,,,,,,,,
RIC,Richmond,RIC,,,,,,,,,
RNO,Reno,RNO,,,,,,,,,
SAC,Sacramento,SAC,,,,,,,,,
SAN,San Diego,SAN,,,,,,,,,
SAT,San Antonio,SAT,,,,,,,,,
SBA,Santa Barbara,SBA,,,,,,,,,
SBY,San Jose,SBY,,,,,,,,,
SEA,Seattle,SEA,,,,,,,,,
SFO,San Francisco,SFO,,,,,,,,,
SLC,Salt Lake City,SLC,,,,,,,,,
SNA,Orange County,SNA,,,,,,,,,
SPK,Spokane,SPK,,,,,,,,,
STL,St Louis,STL,,,,,,,,,
SWM,Southwest Michigan,SWM,,,,,,,,,
TPL,Temple/Waco,TPL,,,,,,,,,
TUS,Tucson,TUS,,,,,,,,,