Address Nickname,FC Id,Zone Name,Market Code,Zone Id,Window Id,Start Day,Is In Plan,,Tuesday Employee PickUp,Wednesday Employee Pickup,Thursday Employee Pickup,Friday Employee Pickup,,FC_Name,Zone_Code,City_Name,Original_Delivery_Day,Exception_Delivery_Day,Original_Delivery_Date,Exception_Delivery_Date,Needs_Exception,,
Portland,PNW,PDX: Employee Warehouse Pick Up,PDX,5bde7ccc-173a-44a0-b290-88dbf142d077,d8b59966-0894-4457-b294-0179787d7f4d,1,TRUE,,Bellingham - EMP,Spokane - EMP,Richmond - EMP,Boise - EMP,,PNW,BLI,Bellingham,Monday,Tuesday,1,2,TRUE,0,Sunday
Chicago,CHI,CHI: Employee Warehouse Pick Up,CHI,b65ce124-cdeb-4572-88b9-d71c4e39337c,a34d9d90-e74c-43ed-b639-60ad86ca361e,3,TRUE,,Portland - EMP,Bronx - EMP,Los Angeles - EMP,Olympia - EMP,,PNW,PDX,Portland,Monday,Tuesday,1,2,TRUE,1,Monday
Los Angeles,LA,LAX: Employee Warehouse Pick Up,LAX,11c31e1d-9d8e-411d-a10b-cbd51bc941ec,0a01df79-858e-47d8-94b2-aa94a9410be4,5,TRUE,,Seattle - EMP,Philadelphia - EMP,San Diego - EMP,Cleveland - EMP,,PNW,SEA,Seattle,Monday,Tuesday,1,2,TRUE,2,Tuesday
Indianapolis,CHI,IND: Employee Warehouse Pick Up,IND,dabccbce-a78b-4303-92aa-cd15bd42f9f0,1648e6b2-cb67-4666-9f01-c687e8b0afa6,3,TRUE,,Pittsburgh - EMP,Chicago - EMP,San Francisco - EMP,Las Vegas - EMP,,BWI,PIT,Pittsburgh,Tuesday,Tuesday,2,2,FALSE,3,Wednesday
Philadelphia,BWI,PHL: Employee Warehouse Pick Up: Wed 7:00AM - 9:00PM EDT,PHL,be6e9e75-bf64-49ec-bce0-08b88052bfae,07a5bf82-578f-4fb4-ae7c-9722e9797078,3,TRUE,,Severn - EMP,Dayton - EMP,,Salt Lake City - EMP,,BWI,BWI,Severn,Monday,Tuesday,1,2,TRUE,4,Thursday
Bronx,BWI,BRX: Employee Warehouse Pick Up: Wed 7:00AM - 9:00PM EDT,BRX,038d1d6e-476d-4e98-9d2c-d0f3a89b08df,7876b80b-e992-4955-a2bd-c1f44a067ed9,3,TRUE,,Austin - EMP,Detroit - EMP,,Phoenix - EMP,,SAT,SAT,Austin,Tuesday,Tuesday,2,2,FALSE,5,Friday
Olympia,PNW,OLM: Employee Warehouse Pick-Up,OLM,1dc0d882-364b-4d3d-bd94-919398aba246,d9e7246a-a190-48a5-90a6-20cb9f5e6011,4,TRUE,,Austin - EMP,Indianapolis - EMP,,Los Angeles - EMP,,SAT,IAH,Austin,Tuesday,Tuesday,2,2,FALSE,6,Saturday
Denver,LA,DEN: Employee Warehouse Pick Up,DEN,70ae14e8-292a-4bc2-a1d8-37f5ddf04d72,3270e6bc-6da1-433f-b81e-85d06bdecbd6,2,TRUE,,Austin - EMP,Louisville - EMP,,San Jose - EMP,,SAT,DFW,Austin,Tuesday,Tuesday,2,2,FALSE,,
Merced,LA,MCE: Employee Warehouse Pick Up,MCE,237a329f-8353-4d40-95ae-fced5ff5d265,d2b6901b-966e-4cd6-93bb-a598047d76fa,2,TRUE,,Austin - EMP,Kansas City - EMP,,Pittsburg CA - EMP,,SAT,AUS,Austin,Tuesday,Tuesday,2,2,FALSE,,
San Diego,LA,SAN: Employee Warehouse Pick Up,SAN,3b5e41cd-7e0e-4b67-8830-99eb650f9cd3,ea5ef9db-3c2d-4c76-98b6-16f462c94a59,4,TRUE,,Baton Rouge - EMP,Madison WI - EMP,,Sacramento - EMP,,SAT,BTR,Baton Rouge,Tuesday,Tuesday,2,2,FALSE,,
Nashville,CHI,BNA: Employee Warehouse Pick Up,BNA,26356ac8-f9e8-436f-a846-12847e291168,6d8ef03c-c296-4ad0-af4a-8dec52928cbe,3,TRUE,,Oklahoma City - EMP,Milwaukee - EMP,,,,SAT,OKC,Oklahoma City,Tuesday,Tuesday,2,2,FALSE,,
San Jose,LA,SBY: Employee Warehouse Pick Up,SBY,8a58e18a-97b7-47ff-8731-2a886e1fd58f,cb65b093-789e-4c5d-adb0-0fe7fa5ec718,5,TRUE,,Merced - EMP,Minneapolis-Saint Paul - EMP,,,,PNW,SPK,Spokane,Tuesday,Wednesday,2,3,TRUE,,
Pittsburgh,BWI,PIT: Employee Warehouse Pick Up: Tue 7:00AM - 9:00PM EDT,PIT,39291ca9-0e7e-458c-bfde-36f900bb33dd,25b564ed-52fa-4ff9-afdf-6444f6d816e3,2,TRUE,,,Nashville - EMP,,,,BWI,BRX,Bronx,Wednesday,Wednesday,3,3,FALSE,,
Kansas City,CHI,KCI: Employee Warehouse Pick Up,KCI,3961712f-a445-4f02-b158-06bfbc5377a4,3e69cc98-fec2-4b06-8e7c-001136cdde1a,3,TRUE,,,Northwest Indiana - EMP,,,,BWI,PHL,Philadelphia,Wednesday,Wednesday,3,3,FALSE,,
Severn,BWI,BWI: Employee Warehouse Pick Up,BWI,9f7b249d-067e-4449-8603-d56ec71f687f,87cde284-0269-4feb-8464-e804fb47d321,1,TRUE,,,Southwest Michigan - EMP,,,,CHI,CHI,Chicago,Wednesday,Wednesday,3,3,FALSE,,
Detroit,CHI,DTW: Employee Warehouse Pick Up,DTW,37b45486-b428-49fc-878c-d2f7c56487a6,1d2da268-ff5f-4880-ac6c-6785b30cf70f,3,TRUE,,,Denver - EMP,,,,CHI,DAY,Dayton,Wednesday,Wednesday,3,3,FALSE,,
Cleveland,BWI,CLE: Employee Warehouse Pick Up,CLE,bedae23d-81bc-4dd7-b07a-39a855ed4368,944b4dc1-3594-4ea6-8495-a982b675de01,5,TRUE,,,,,,,CHI,DTW,Detroit,Wednesday,Wednesday,3,3,FALSE,,
Austin,SAT,SAT: Employee Warehouse Pick Up,SAT,a6ba9f10-e4d3-4f8f-ad01-0a15616da8ce,38114a94-9dc9-4f24-9637-3bd598940d99,2,TRUE,,Trimmed,,,,,CHI,IND,Indianapolis,Wednesday,Wednesday,3,3,FALSE,,
Las Vegas,LA,LAS: Employee Warehouse Pick Up,LAS,44e6b6be-b3fe-4872-a09a-5ff90ec69cf0,605c3eb6-ac05-43ef-a6e5-e505349d87ea,4,TRUE,,Bellingham,Spokane,Richmond,Boise,,CHI,LOU,Louisville,Wednesday,Wednesday,3,3,FALSE,,
Milwaukee,CHI,MKE: Employee Warehouse Pick Up,MKE,54216262-2823-4ca6-a08f-35d48a076607,58fb3297-05bb-4d75-89bd-eafc86f648fc,3,TRUE,,Portland,Bronx,Los Angeles,Olympia,,CHI,KCI,Kansas City,Wednesday,Wednesday,3,3,FALSE,,
Los Angeles,LA,SBA: Employee Warehouse Pick Up,SBA,6adabf61-cb11-4fa7-991f-79f24e8866f2,ad3ea3c9-368b-4929-9ad0-56e2ceecab7f,4,TRUE,,Seattle,Philadelphia,San Diego,Cleveland,,CHI,MSN,Madison WI,Wednesday,Wednesday,3,3,FALSE,,
Austin,SAT,IAH: Employee Warehouse Pick Up,IAH,729203b9-02da-4862-acf1-a13787d48fb8,3d087790-974f-4388-955d-f32ece7339b5,2,TRUE,,Pittsburgh,Chicago,San Francisco,Las Vegas,,CHI,MKE,Milwaukee,Wednesday,Wednesday,3,3,FALSE,,
Bellingham,PNW,BLI: Employee Warehouse Pick Up,BLI,a1668dfb-c0a2-47de-ab17-2c4445a01934,41a66bac-422b-4411-b7d2-637cfb2ae02c,1,TRUE,,Severn,Dayton,,Salt Lake City,,CHI,MSP,Minneapolis-Saint Paul,Wednesday,Wednesday,3,3,FALSE,,
Boise,PNW,BOI: Employee Warehouse Pickup,BOI,0e3eeed0-ad8d-49eb-ac2b-c9ad2fae76bf,bece9e65-e190-4995-96fb-0e943223e502,4,TRUE,,Austin,Detroit,,Phoenix,,CHI,BNA,Nashville,Wednesday,Wednesday,3,3,FALSE,,
Northwest Indiana,CHI,NWI: Employee Warehouse Pick Up,NWI,868eb2e9-b571-446d-a064-1556485afed1,6f734919-01dd-4d53-9b74-426a0eb49a82,3,TRUE,,Austin,Indianapolis,,Los Angeles,,CHI,NWI,Northwest Indiana,Wednesday,Wednesday,3,3,FALSE,,
Severn,BWI,HAR: Employee Warehouse Pick Up,HAR,7ba43a1c-8d68-4b2f-8791-f5778e6ace73,82928dc1-fd2a-4016-9a45-ea65c5de37c8,2,TRUE,,Austin,Louisville,,San Jose,,CHI,SWM,Southwest Michigan,Wednesday,Wednesday,3,3,FALSE,,
Minneapolis-Saint Paul,CHI,MSP: Employee Warehouse Pick Up,MSP,30cf21d6-27b2-4076-9bbf-ceeae5cc00d3,580ae2f4-94fb-4679-90cd-a1fc944ec36c,3,TRUE,,Austin,Kansas City,,Pittsburg CA,,LA,DEN,Denver,Tuesday,Wednesday,2,3,TRUE,,
Severn,BWI,NVA: Employee Warehouse Pick Up,NVA,703332e4-b39c-424f-9680-b925514a0438,4e707579-05e7-4443-96be-0272c7e5b773,2,TRUE,,Baton Rouge,Madison WI,,Sacramento,,BWI,RIC,Richmond,Thursday,Thursday,4,4,FALSE,,
Madison WI,CHI,MSN: Employee Warehouse Pick Up,MSN,59265382-ae96-432c-8316-42f36acee070,7e7bec99-5334-425c-b5ef-4e7534549c3b,3,TRUE,,Oklahoma City,Milwaukee,,,,LA,LAX,Los Angeles,Friday,Thursday,5,4,TRUE,,
Austin,SAT,DFW: Employee Warehouse Pick Up,DFW,375d482d-6b27-490b-afc5-62237d6d34a0,3f51933f-6d0d-45d1-aefa-3fe48ee0eb2d,2,TRUE,,Merced ,Minneapolis-Saint Paul,,,,LA,SAN,San Diego,Thursday,Thursday,4,4,FALSE,,
Louisville,CHI,LOU: Employee Warehouse Pick Up,LOU,38d598e8-07ae-49fb-9c20-5eea146e6911,f1a961ce-bd40-4b04-87fa-0791b0755e05,3,TRUE,,,Nashville,,,,LA,SFO,San Francisco,Thursday,Thursday,4,4,FALSE,,
Salt Lake City,LA,SLC: Employee Warehouse Pickup,SLC,7455aca5-1825-424f-aa3c-bb2d4ade3971,acb5bb3f-e1a7-4c43-b0ca-a74bee74e7ae,4,TRUE,,,Northwest Indiana,,,,PNW,BOI,Boise,Thursday,Friday,4,5,TRUE,,
San Diego,LA,SAN: Employee Warehouse Pick Up,SAN,3b5e41cd-7e0e-4b67-8830-99eb650f9cd3,0c4eaed2-67eb-446a-83b0-034a5e98aca8,4,TRUE,,,Southwest Michigan,,,,PNW,OLM,Olympia,Thursday,Friday,4,5,TRUE,,
Southwest Michigan,CHI,SWM: Employee Warehouse Pick Up,SWM,f5b8ea03-8dbf-4761-96c2-a25eb54e46fd,c9437fb4-df72-4757-98a2-a33388a71d64,3,TRUE,,,Denver,,,,BWI,CLE,Cleveland,Friday,Friday,5,5,FALSE,,
Dayton,CHI,DAY: Employee Warehouse Pick Up,DAY,7341c66a-4c03-4a8a-8c69-5d4111e69599,15da5c37-1db3-4c05-bfe2-9c497b6c81ca,3,TRUE,,,,,,,LA,LAS,Las Vegas,Thursday,Friday,4,5,TRUE,,
Severn,BWI,EWR: Employee Warehouse Pick Up,EWR,15522e8f-d228-4d80-aa04-99b844748db0,8442a5c5-3493-47f1-9d00-e0a790296261,1,TRUE,,,,,,,LA,SLC,Salt Lake City,Thursday,Friday,4,5,TRUE,,
Baton Rouge,SAT,BTR: Employee Warehouse Pick Up,BTR,771cb403-4fb0-4d19-b287-d71b8cb32037,937f6994-2e2b-48c5-a9be-cc4e3ed17d9d,2,TRUE,,,,,,,LA,PHX,Phoenix,Thursday,Friday,4,5,TRUE,,
Spokane,PNW,SPK: Employee Warehouse Pick Up,SPK,ebf2b9af-6d56-4989-8ff7-cb03ef0a90d9,3225c6e7-fb44-4d3b-b338-4a7d65c9ec0e,2,TRUE,,Unaccounted For Employee Pickup Zones,,,,,LA,LAX,Los Angeles,Friday,Friday,5,5,FALSE,,
Phoenix,LA,PHX: Employee Warehouse Pickup,PHX,f79383bd-f80a-4322-8214-2a1c76284d0e,d9bdce04-200d-4f8a-b0c4-d865cbe1120d,4,TRUE,,#N/A,,,,,LA,SBY,San Jose,Friday,Friday,5,5,FALSE,,
Portland,PNW,SEA: Employee Warehouse Pick Up,SEA,354d7dca-bb36-4b64-bee6-e54163af72c5,7dd21c4c-4c41-4b62-b006-6fe0cb899d1a,1,TRUE,,,,,,,LA,EBY,Pittsburg CA,Friday,Friday,5,5,FALSE,,
Severn,BWI,MOC: Employee Warehouse Pick Up,MOC,56c677e8-d742-4e11-9319-2217422467c2,b686fa2d-e3c1-4933-a67b-a1b4b8c11259,5,TRUE,,,,,,,LA,SAC,Sacramento,Friday,Friday,5,5,FALSE,,
Chicago,CHI,STL: Employee Warehouse Pick Up,STL,e1a5d2d4-35e3-410d-8edc-63b26bacef68,0acb315b-950c-4184-ac7b-ccd738b07a77,3,TRUE,,,,,,,LA,MCE,Merced,Tuesday,Tuesday,2,2,FALSE,,
Oklahoma City,SAT,OKC: Employee Warehouse Pick Up,OKC,ce06da9c-d997-4f7c-944a-c4c82d79d9d5,1321d251-cb83-49fe-82bb-00830aba3fd8,2,TRUE,,,,,,,BWI,HAR,Hartford,Tuesday,Wednesday,2,3,TRUE,,
Severn,BWI,BOS: Employee Warehouse Pick Up,BOS,350f1bed-0e33-46ee-a9d6-589708ed957d,3611b779-4f40-4f9e-a47b-063855a3ad60,2,TRUE,,,,,,,BWI,NVA,Northern Virginia,Tuesday,Wednesday,2,3,TRUE,,
Austin,SAT,AUS: Employee Warehouse Pick Up,AUS,22c48600-df8d-41e9-80be-8c811d3822b0,3ede38e8-fe87-4c5c-8cf0-822b3d70f776,2,TRUE,,,,,,,BWI,EWR,Newark,Monday,Wednesday,1,3,TRUE,,
Sacramento,LA,SAC: Employee Warehouse Pick Up LAX,SAC,5ca2e696-9e77-41d4-a862-5a6e984ddec9,1cb08838-0d62-48b2-b5eb-5e943284faa5,5,TRUE,,,,,,,BWI,MOC,Montgomery County,Friday,Wednesday,5,3,TRUE,,
Richmond,BWI,RIC: Employee Warehouse Pick Up,RIC,6ad2186e-4ba7-4389-9c75-c88d3f7d972f,13855659-1752-4bfe-86f8-dbe64959d720,4,TRUE,,,,,,,CHI,STL,St. Louis,Wednesday,Wednesday,3,3,FALSE,,
Pittsburg CA,LA,EBY: Employee Warehouse Pick Up LAX,EBY,189f4e1e-e98c-4022-a403-043005ae2d5c,1cd2d426-3064-49cd-b63c-7d73bfb18928,5,TRUE,,,,,,,BWI,BOS,Boston,Tuesday,Wednesday,2,3,TRUE,,
San Francisco,LA,SFO: Employee Warehouse Pick Up LAX,SFO,fe9940d0-2c44-4267-8fea-56f1b143f7a5,9fb78bef-e9fe-4d43-b295-effd67393140,4,TRUE,,,,,,,LA,SBA,Santa Barbara,Thursday,Thursday,4,4,FALSE,,